,active,age,birth_city,birth_country,birth_date,birth_state,college,depth_chart_order,depth_chart_position,espn_id,fantasy_data_id,fantasy_positions,first_name,full_name,gsis_id,hashtag,height,high_school,injury_body_part,injury_notes,injury_start_date,injury_status,last_name,news_updated,number,player_id,position,practice_description,practice_participation,rotowire_id,rotoworld_id,search_first_name,search_full_name,search_last_name,search_rank,sport,sportradar_id,stats_id,status,team,weight,yahoo_id,years_exp
5477,True,25,,,1994-01-02,,None,,,3056831,20458,['LB'],Reggie,Reggie Hunter,00-0034518,#ReggieHunter-NFL-FA-47,"5'11""",,,,,,Hunter,,47,5477,LB,,,13039,,reggie,reggiehunter,hunter,9999999,nfl,4916c90c-11e8-44d8-be62-67806f9efcdf,,Inactive,,240,31264,1
4858,False,,,,,,,,,,19759,,Ken,Ken Norton Jr.,,#KenNortonJr-NFL-FA-0,,,,,,,Norton Jr.,,0,4858,,,,,10354,ken,kennortonjr,nortonjr,9999999,nfl,,,Inactive,,,,0
4454,True,24,,,1995-08-04,,Eastern Washington,1,SWR,3045523,19318,['WR'],Kendrick,Kendrick Bourne,00-0033307,#KendrickBourne-NFL-SF-84,"6'2""",,,,,,Bourne,1577057702723,84,4454,WR,,,11847,12677,kendrick,kendrickbourne,bourne,231,nfl,5aba3610-ab55-4922-ac46-806ded5eb8bf,754412,Active,SF,190,30551,2
1421,True,28,,,1991-09-14,,Alabama,,,15814,14981,['OL'],Chance,Chance Warmack,00-0030593,#ChanceWarmack-NFL-FA-67,"6'2""",,,,,,Warmack,,67,1421,G,,,8701,8418,chance,chancewarmack,warmack,9999999,nfl,cf45fa8d-13e0-4c16-a9eb-301b090ef83a,,Inactive,,317,26633,6
5659,True,27,,,1992-12-21,,None,2,RDT,3043127,20330,['DL'],John,John Atkins,00-0034586,#JohnAtkins-NFL-DET-99,"6'3""",,,,,,Atkins,1571112944131,99,5659,DT,,,12910,,john,johnatkins,atkins,1740,nfl,648bcdd5-7239-41b4-b346-a2424f6c01d3,,Active,DET,321,31647,1
2621,True,27,,,1992-02-15,,Oregon State,,,2577023,17089,['RB'],Terron,Terron Ward,,#TerronWard-NFL-FA-28,"5'6""",,,,,,Ward,1521174601778,28,2621,RB,,,10596,,terron,terronward,ward,9999999,nfl,003f8716-bc1a-4328-9a98-80ed932eb4e5,590686,Inactive,,203,28832,4
5865,True,22,,,1997-01-05,,Ohio State,1,LDE,3915525,20842,['DL'],Dre'mont,Dre'mont Jones, 00-0035678,#DremontJones-NFL-DEN-93,"6'3""",,,,,,Jones,1577043961104,93,5865,DE,,,13451,,dremont,dremontjones,jones,1677,nfl,92c8bc67-756d-4e3c-981c-3df010e15e2d,,Active,DEN,281,31903,0
713,True,33,,,1986-06-16,,Mississippi,,,13404,12212,['DB'],Kendrick,Kendrick Lewis,00-0027736,#KendrickLewis-NFL-FA-28,"6'0""",,,,,,Lewis,1545071739517,28,713,SS,,,6653,,kendrick,kendricklewis,lewis,9999999,nfl,07ab211c-4733-4336-b59a-2137f3efe5e8,334724,Inactive,,198,24112,9
4539,True,26,,,1993-06-04,,Georgia,3,RG,2977653,19418,['OL'],Greg,Greg Pyke,00-0033618,#GregPyke-NFL-FA-68,"6'5""",,,,,,Pyke,,68,4539,G,,,12148,,greg,gregpyke,pyke,9999999,nfl,324274e2-f7d1-40b8-b5c8-4cf58fda42fd,,Inactive,,319,30599,2
4549,True,25,,,1994-11-06,,Old Dominion,1,RG,3060134,19429,"['OL', 'DL']",Rashaad,Rashaad Coward,00-0033631,#RashaadCoward-NFL-CHI-69,"6'6""",,Knee,"Coward exited the previous game due to a knee injury, and it remains to be seen if he will take the field Week 17 versus the Vikings.",2019-12-22,Questionable,Coward,1577069703739,69,4549,G,,,12469,,rashaad,rashaadcoward,coward,9999999,nfl,b4473469-2593-4c7f-8b41-729e1ddb08f6,,Active,CHI,310,30718,2
4041,False,,,,,,,,,,18884,,Jay,Jay Gruden,,#JayGruden-NFL-FA-0,,,,,,,Gruden,,0,4041,,,,,9295,jay,jaygruden,gruden,9999999,nfl,,,Inactive,,,,0
5542,True,24,,,1995-07-15,,None,,,3046694,20287,"['LB', 'DL']",Naashon,Naashon Hughes,00-0034181,#NaashonHughes-NFL-FA-55,"6'4""",,,,,,Hughes,,55,5542,ILB,,,13112,,naashon,naashonhughes,hughes,9999999,nfl,d6fffab3-1d96-416b-8f9f-fbdff691f33d,,Inactive,,250,31434,1
3584,True,26,,,1992-11-19,,Maryland,,,2577081,18363,['WR'],Marcus,Marcus Leak,,#MarcusLeak-NFL-FA-85,"5'11""",,,,,Out,Leak,,85,3584,WR,,,11254,,marcus,marcusleak,leak,9999999,nfl,6ba2265a-b23d-4384-9795-df464df50b6f,605445,Inactive,,216,29602,3
1869,False,25,,,1991-12-16,,Virginia Tech,,,17171,16085,['DL'],Derrick,Derrick Hopkins,,#DerrickHopkins-NFL-FA-79,"6'0""",,,,,,Hopkins,,79,1869,NT,,,,,derrick,derrickhopkins,hopkins,9999999,nfl,b8776915-600a-4910-9608-beaf5d575f0e,,Inactive,,309,,1
5206,True,25,,,1994-12-08,,None,,,3044725,20141,['P'],Trevor,Trevor Daniel,00-0034626,#TrevorDaniel-NFL-FA-8,"6'1""",,,,,,Daniel,1568847021288,8,5206,P,,,12925,,trevor,trevordaniel,daniel,9999999,nfl,927dfc54-48f1-4566-a58d-a1351e8ad704,,Inactive,,230,31579,1
1300,False,28,,,1989-09-06,,Nevada,,,15324,14774,['LB'],Kaelin,Kaelin Burnett,,#KaelinBurnett-NFL-FA-58,"6'4""",,,,,,Burnett,,58,1300,OLB,,,,,kaelin,kaelinburnett,burnett,9999999,nfl,f2519187-33ed-442a-bf46-c312116e961d,,Inactive,,234,,4
2920,False,24,,,1993-02-05,,McMurry,,,,17388,['WR'],Jeret,Jeret Smith,,#JeretSmith-NFL-FA-8,"5'10""",,,,,,Smith,,8,2920,WR,,,,,jeret,jeretsmith,smith,9999999,nfl,d1a27ba5-f43b-4cd4-8744-097842829626,613046,Inactive,,211,29157,0
2623,True,28,,,1991-08-05,,Auburn,,,2574553,17091,['DB'],Robenson,Robenson Therezie,00-0031680,#RobensonTherezie-NFL-FA-40,"5'9""",,,,,,Therezie,1538184302394,40,2623,SS,,,10692,,robenson,robensontherezie,therezie,9999999,nfl,e73ef17d-9ef4-4469-bcb2-0841c3c4d27f,593302,Inactive,,212,28830,4
5628,True,25,,,1994-07-04,,None,,,3053054,20110,['DL'],Cavon,Cavon Walker,00-0034605,#CavonWalker-NFL-FA-96,"6'2""",,,,,,Walker,,96,5628,DE,,,13244,,cavon,cavonwalker,walker,1614,nfl,e34d2f84-e5ec-4818-a54c-94176e515a90,,Inactive,,278,31669,1
391,True,33,,,1986-09-19,,South Carolina,2,K,12731,8750,['K'],Ryan,Ryan Succop,00-0026968,#RyanSuccop-NFL-TEN-4,"6'3""",,Knee,Succop is on injured reserve with a knee injury.,2019-12-18,Out,Succop,1576688461041,4,391,K,,,6150,5461,ryan,ryansuccop,succop,402,nfl,ecc4f0c1-64e0-46cc-9b58-91c2b215e62a,296494,Active,TEN,218,9520,10
2842,False,23,,,1993-08-27,,Florida Atlantic,,,2572965,17310,['LB'],Andrae,Andrae Kirk,,#AndraeKirk-NFL-FA-49,"6'2""",,,,,,Kirk,,49,2842,OLB,,,,,andrae,andraekirk,kirk,9999999,nfl,0780bf13-c109-4926-b623-e1aa7a4a3a7a,,Inactive,,225,,0
6426,True,22,,,1997-06-12,,Middle Tennessee,2,LT,3914440,21330,['OL'],Chandler,Chandler Brewer, 00-0035623,#ChandlerBrewer-NFL-LAR-67,"6'5""",,,,,,Brewer,,67,6426,OT,,,14016,,chandler,chandlerbrewer,brewer,9999999,nfl,8ef99bbe-602c-4796-aa04-833f357991ba,,Active,LAR,310,32126,0
4985,True,23,,,1996-02-02,,San Diego State,5,RB,3139925,19799,['RB'],Rashaad,Rashaad Penny,00-0034750,#RashaadPenny-NFL-SEA-20,"5'11""",,Knee,Penny has been sent to the injured reserve list due to a torn ACL in his left knee.,2019-12-14,IR,Penny,1576864248468,20,4985,RB,,,12830,13143,rashaad,rashaadpenny,penny,92,nfl,2b119688-83b5-4d19-acbf-fa2087035fae,840691,Injured Reserve,SEA,220,30997,1
4049,True,26,,,1993-01-29,,Alabama,3,RCB,2578482,18893,['DB'],Bradley,Bradley Sylve,,#BradleySylve-NFL-FA-41,"5'11""",,,,,Out,Sylve,,41,4049,CB,,,12189,,bradley,bradleysylve,sylve,9999999,nfl,6b2ca87f-0afd-4cb0-a108-f3954d1fd9c2,,Inactive,,180,30108,2
271,True,37,,,1981-10-18,,North Carolina,,,9306,6797,['LS'],Greg,Greg Warren,,#GregWarren-NFL-FA-60,"6'3""",,,,,,Warren,,60,271,LS,,,9120,,greg,gregwarren,warren,9999999,nfl,80dbdd1a-0738-4c7a-baa7-cbc72040293d,,Inactive,,252,7491,13
3726,False,25,,,1992-12-29,,Minnesota,3,P,2576320,18534,['P'],Peter,Peter Mortell,,#PeterMortell-NFL-FA-1,"6'1""",,,,,,Mortell,,1,3726,P,,,11452,,peter,petermortell,mortell,9999999,nfl,5e4137f7-02d5-4bed-a6c7-965d6fdccb10,,Inactive,,190,29737,0
4459,True,25,,,1994-11-09,,Colorado,,,3052109,19323,['LB'],Jimmie,Jimmie Gilbert,,#JimmieGilbert-NFL-FA-47,"6'5""",,,,,,Gilbert,1525126504002,47,4459,OLB,,,12182,,jimmie,jimmiegilbert,gilbert,9999999,nfl,8be4e402-997b-47e3-9381-f465cb1cfce3,,Inactive,,230,30556,2
3032,False,,,,,,,,,,17719,['RB'],Lavance,Lavance Taylor,,#LavanceTaylor-NFL-FA-0,,,,,,,Taylor,,0,3032,RB,,,,,lavance,lavancetaylor,taylor,9999999,nfl,,864275,Inactive,,,,
151,False,31,,,1986-07-12,,California,,,,4075,['WR'],Lavelle,Lavelle Hawkins,,#LavelleHawkins-NFL-FA-15,"5'11""",,,,,,Hawkins,,15,151,WR,,,,,lavelle,lavellehawkins,hawkins,9999999,nfl,ce1ffa7a-d7f2-43b9-84b2-380d54c64fb9,,Inactive,,194,,7
2861,True,26,,,1993-08-04,,UCF,,,2972442,17329,['DB'],Jacoby,Jacoby Glenn,,#JacobyGlenn-NFL-FA-26,"6'0""",,,,,IR,Glenn,,26,2861,CB,,,10068,,jacoby,jacobyglenn,glenn,9999999,nfl,76823345-f05f-4337-a4fd-f9b173440305,693682,Injured Reserve,,179,28702,4
3049,True,26,,,1992-02-27,,San Diego State,2,LT,2976121,17764,['OL'],Terry,Terry Poole,,#TerryPoole-NFL-FA-69,"6'5""",,,,,,Poole,,69,3049,OT,,,10457,,terry,terrypoole,poole,9999999,nfl,a899230a-ae9d-4158-9208-eb3b18a49f8a,,Inactive,,307,28518,2
2550,True,28,,,1991-02-07,,Tulane,3,RCB,2515587,17010,['DB'],Taurean,Taurean Nixon,00-0032157,#TaureanNixon-NFL-FA-31,"6'0""",,,,,,Nixon,1535837136116,31,2550,CB,,,10505,,taurean,taureannixon,nixon,9999999,nfl,4f260130-570b-4a37-9f17-193b6c9cc025,,Inactive,,183,28639,4
5780,True,25,,,1994-08-06,,Northern Iowa,,,3049025,20683,['DL'],Adam,Adam Reth,00-0034865,#AdamReth-NFL-FA-71,"6'4""",,,,,,Reth,1534725315258,71,5780,DE,,,13376,,adam,adamreth,reth,9999999,nfl,6904f89f-c6f3-42fe-add6-54ba80ee04dc,,Inactive,,284,31776,1
3092,False,,,,,,,,,,17842,,Sashi,Sashi Brown,,#SashiBrown-NFL-FA-0,,,,,,,Brown,,0,3092,,,,,11209,sashi,sashibrown,brown,9999999,nfl,,,Inactive,,,,0
4584,True,25,,,1994-02-16,,Pittsburgh,,,3045154,19471,['DL'],Tyrique,Tyrique Jarrett,,#TyriqueJarrett-NFL-FA-98,"6'2""",,,,,,Jarrett,,98,4584,NT,,,12438,,tyrique,tyriquejarrett,jarrett,9999999,nfl,e2e9f8a6-9cbc-4acb-9f7f-a62130fa682a,,Inactive,,357,30818,2
5520,True,24,,,1995-07-22,,None,,,4331768,20219,['DB'],Jonathan,Jonathan Owens,00-0034485,#JonathanOwens-NFL-HOU-36,"5'11""",,,,,,Owens,1574772343341,36,5520,FS,,,13218,,jonathan,jonathanowens,owens,1012,nfl,411c2af8-64c9-4982-8d72-3ba4c683c0db,,Practice Squad,HOU,210,31318,1
2708,True,27,,,1991-12-27,,Toledo,,,2574801,17176,['LB'],Junior,Junior Sylvestre,,#JuniorSylvestre-NFL-FA-49,"6'0""",,,,,Out,Sylvestre,,49,2708,ILB,,,10366,,junior,juniorsylvestre,sylvestre,9999999,nfl,bfa9385e-81ad-4cac-9579-24522cf39fb4,,Inactive,,227,28751,4
3656,False,24,,,1993-11-18,,Fresno State,,,,18449,['LB'],Ejiro,Ejiro Ederaine,,#EjiroEderaine-NFL-FA-40,"6'2""",,,,,,Ederaine,,40,3656,OLB,,,11390,,ejiro,ejiroederaine,ederaine,9999999,nfl,,,Inactive,,223,29691,0
339,False,31,,,1986-11-22,,Ohio State,,,12568,8330,['WR'],Brian,Brian Hartline,,#BrianHartline-NFL-FA-83,"6'2""",,,,,,Hartline,,83,339,WR,,,6114,5191,brian,brianhartline,hartline,9999999,nfl,24a6423a-0c3f-4cfb-b25a-fc05c04c9f7f,296910,Inactive,,199,9372,8
5247,True,24,,,1995-04-05,,None,,,3059104,20238,['K'],David,David Marvin,00-0034147,#DavidMarvin-NFL-FA-1,"6'2""",,,,,,Marvin,1533999006812,1,5247,K,,,13093,,david,davidmarvin,marvin,9999999,nfl,33c4aa3f-8f62-48c0-9ebf-d6ad73c6e4e3,,Inactive,,215,31361,1
3657,True,27,,,1992-10-03,,Tulane,,,2575408,18451,['RB'],Rob,Rob Kelley,00-0032371,#RobKelley-NFL-FA-37,"6'0""",,,,,,Kelley,1565106929571,37,3657,RB,,,11265,11834,rob,robkelley,kelley,1845,nfl,6a65641c-5ee2-44e3-8a75-7f98887b40ae,602831,Inactive,,220,29694,3
3508,True,26,,,1993-02-11,,Boise State,,,2573307,18274,['OL'],Marcus,Marcus Henry,00-0032877,#MarcusHenry-NFL-DAL-62,"6'2""",,,,,,Henry,,62,3508,C,,,11504,,marcus,marcushenry,henry,9999999,nfl,5a1e63b3-6dcc-48f5-927c-0fc141085f32,,Practice Squad,DAL,300,29849,3
2722,False,26,,,1991-11-12,,Kansas,,,2513911,17190,['TE'],Jimmay,Jimmay Mundine,,#JimmayMundine-NFL-FA-87,"6'2""",,,,,,Mundine,,87,2722,TE,,,10578,,jimmay,jimmaymundine,mundine,9999999,nfl,58f1ed75-6d74-4429-9d45-5d8fdb7201f3,555781,Inactive,,240,29150,1
3108,True,28,,,1991-02-17,,Washington,,,2976500,17860,['DB'],Travell,Travell Dixon,00-0032014,#TravellDixon-NFL-FA-27,"6'0""",,,,,,Dixon,,27,3108,CB,,,10795,,travell,travelldixon,dixon,9999999,nfl,d2e89432-b9e3-4beb-a795-f0e9f6756efb,,Inactive,,198,29079,4
3469,True,27,,,1992-11-17,,Auburn,,,2971032,18233,"['LB', 'DL']",Cassanova,Cassanova McKinzy,00-0032751,#CassanovaMcKinzy-NFL-WAS-58,"6'1""",,,,,,McKinzy,1572496534356,58,3469,OLB,,,11135,,cassanova,cassanovamckinzy,mckinzy,1580,nfl,555ad7d1-ee7a-4679-b24e-0cbee3ca680d,,Practice Squad,WAS,264,29584,3
656,False,37,,,1980-11-15,,Texas,2,LDE,4524,11722,['DL'],Cory,Cory Redding,,#CoryRedding-NFL-FA-90,"6'4""",,,,,,Redding,,90,656,DE,,,3413,,cory,coryredding,redding,9999999,nfl,e0e205f1-065c-4c56-9721-0eab8c54ab9b,,Inactive,,292,6402,13
5289,True,24,,,1995-12-20,,None,3,RWR,3139456,20372,['WR'],Cameron,Cameron Batson,00-0034652,#CameronBatson-NFL-TEN-12,"5'8""",,Upper Body,Batson is on the injured reserve list with an upper-body ailment.,2019-07-31,Out,Batson,1564583714548,12,5289,WR,,,13206,,cameron,cameronbatson,batson,709,nfl,54c60acc-65ac-4e63-a988-697ee26e862a,839009,Active,TEN,177,31623,1
2420,True,27,,,1992-05-13,,Northwestern,2,SS,2511090,16876,['DB'],Ibraheim,Ibraheim Campbell,00-0032198,#IbraheimCampbell-NFL-GB-35,"5'11""",,,,,,Campbell,1572996617105,35,2420,SS,,,10404,10504,ibraheim,ibraheimcampbell,campbell,1944,nfl,294b8433-6560-4117-82e9-79f51d361b0b,546171,Active,GB,210,28503,4
4708,True,26,,,1993-10-02,,Ball State,3,SWR,2972052,19615,['WR'],Kevonn,Kevonn Mabon,,#KevonnMabon-NFL-FA-80,"6'1""",,,,,,Mabon,,80,4708,WR,,,,,kevonn,kevonnmabon,mabon,9999999,nfl,474ebff3-e692-4fa5-bb5c-b6e4eb7fb81d,652271,Inactive,,224,30752,2
5755,True,22,,,1996-02-23,,Miami (Fla.),,,,19914,,Chris,Chris Herndon,00-0034766,#ChrisHerndon-NFL-FA-0,,,,,,,Herndon,,0,5755,,,,,13228,chris,chrisherndon,herndon,9999999,nfl,780a48de-d092-4e87-9c34-8d1b45a154cc,,Inactive,,,900358,0
2133,True,27,,,1992-12-24,,Fresno State,1,LWR,16800,16470,['WR'],Davante,Davante Adams,00-0031381,#DavanteAdams-NFL-GB-17,"6'1""",,,,,,Adams,1577166059658,17,2133,WR,,,9455,9273,davante,davanteadams,adams,9,nfl,e7d6ae25-bf15-4660-8b37-c37716551de3,611417,Active,GB,212,27581,5
254,True,34,,,1985-07-14,,Pittsburgh,2,RCB,10458,6304,['DB'],Darrelle,Darrelle Revis,,#DarrelleRevis-NFL-FA-24,"5'11""",,,,,,Revis,1531926001189,24,254,CB,,,5207,4155,darrelle,darrellerevis,revis,9999999,nfl,2979c3a5-0e4e-489e-82d7-d208e48b828b,269063,Inactive,,198,8268,12
3380,True,26,,,1993-06-26,,Arizona State,,,2577190,18141,['WR'],Devin,Devin Lucien,00-0032447,#DevinLucien-NFL-FA-10,"6'0""",,,,,,Lucien,1535831708976,10,3380,WR,,,11006,,devin,devinlucien,lucien,9999999,nfl,41511ce3-77f8-48c4-8cf9-7029ec7e1bbf,605062,Inactive,,192,29459,3
1081,False,29,,,1989-08-20,,Nevada,2,MLB,15032,13898,['LB'],James-Michael,James-Michael Johnson,,#JamesMichaelJohnson-NFL-FA-56,"6'1""",,,,,,Johnson,,56,1081,ILB,,,8225,,jamesmichael,jamesmichaeljohnson,johnson,9999999,nfl,ee0e5c2a-4623-44ee-a46a-d59d348c5f75,,Inactive,,240,25830,5
280,True,35,,,1984-08-19,,Towson,,,10568,7098,['OL'],Jermon,Jermon Bushrod,00-0025512,#JermonBushrod-NFL-FA-74,"6'5""",,,,,,Bushrod,1567175151285,74,280,OT,,,6327,4455,jermon,jermonbushrod,bushrod,9999999,nfl,b31b2a6b-1464-4c78-a19c-1f6ae627d519,,Inactive,,315,8379,12
360,True,33,,,1986-01-07,,Tennessee,1,LG,12883,8504,['OL'],Ramon,Ramon Foster,00-0026561,#RamonFoster-NFL-PIT-73,"6'6""",,,,,,Foster,1573677962888,73,360,G,,,7002,5527,ramon,ramonfoster,foster,9999999,nfl,dc99b6a9-4825-40c1-858d-252a4061c289,,Active,PIT,325,9557,10
2758,True,27,,,1992-11-25,,Michigan,,,2576253,17226,['LB'],Brennen,Brennen Beyer,,#BrennenBeyer-NFL-FA-45,"6'3""",,,,,IR,Beyer,,45,2758,ILB,,,10743,,brennen,brennenbeyer,beyer,9999999,nfl,d7ffadcb-7f9c-4d1f-8fdf-edff99c92a70,,Injured Reserve,,255,28946,4
4627,True,25,,,1994-02-06,,Texas A&M,,,3115302,19521,['OL'],Avery,Avery Gennesy,00-0033688,#AveryGennesy-NFL-FA-67,"6'3""",,,,,,Gennesy,,67,4627,G,,,11795,,avery,averygennesy,gennesy,9999999,nfl,21be8393-db2f-4ef0-98a3-5f1b8421dd54,,Inactive,,318,30400,2
2459,True,27,,,1992-07-02,,Michigan State,,,2515418,16916,['WR'],Tony,Tony Lippett,00-0031594,#TonyLippett-NFL-FA-39,"6'2""",,,,,,Lippett,1564530303690,39,2459,WR,,,10227,,tony,tonylippett,lippett,9999999,nfl,c0cfe76c-0633-4b6b-b282-02ca9911cabd,557362,Inactive,,192,28544,4
2298,False,28,,,1989-03-09,,Samford,,,2324064,16743,['DL'],Jeremy,Jeremy Towns,,#JeremyTowns-NFL-FA-79,"6'3""",,,,,,Towns,,79,2298,DT,,,,,jeremy,jeremytowns,towns,9999999,nfl,4e2ef7b6-b09c-4878-8427-c2606f9db428,,Inactive,,303,,1
2812,False,25,,,1992-07-20,,Northwestern,,,2510111,17280,['DB'],Imoan,Imoan Claiborne,,#ImoanClaiborne-NFL-FA-45,"5'11""",,,,,,Claiborne,,45,2812,CB,,,,,imoan,imoanclaiborne,claiborne,9999999,nfl,feb9f2f7-337a-4f9a-a17f-bbbf23da6fa4,,Inactive,,190,28991,0
6145,True,24,,,1995-10-19,,Virginia,1,FS,3917909,20965,['DB'],Juan,Juan Thornhill, 00-0035625,#JuanThornhill-NFL-KC-22,"6'0""",,,,,,Thornhill,1571184349967,22,6145,FS,,,13824,,juan,juanthornhill,thornhill,1040,nfl,73ec5a10-dd68-448e-938f-25021cbc3004,,Active,KC,205,31895,0
2069,True,27,,,1991-11-01,,South Carolina,,,17327,16373,['OL'],Ronald,Ronald Patrick,,#RonaldPatrick-NFL-FA-62,"6'2""",,,,,Out,Patrick,,62,2069,C,,,10612,,ronald,ronaldpatrick,patrick,9999999,nfl,c5748df6-0379-495e-8592-0a3df036de28,,Inactive,,315,28135,5
6671,True,24,,,1995-09-14,,Nebraska,,,3116094,21565,['OL'],Jerald,Jerald Foster,,#JeraldFoster-NFL-FA-63,"6'2""",,,,,,Foster,,63,6671,G,,,14302,,jerald,jeraldfoster,foster,9999999,nfl,838e8308-5d0a-43dd-a6c4-27b0d7c879f9,,Inactive,,312,32593,0
1932,True,28,,,1991-12-17,,Penn State,1,NT,16910,16171,['DL'],DaQuan,DaQuan Jones,00-0031054,#DaQuanJones-NFL-TEN-90,"6'4""",,,,,,Jones,1538971203772,90,1932,NT,,,9393,9656,daquan,daquanjones,jones,1673,nfl,0d038341-cd66-4651-93c4-e76c6d218135,,Active,TEN,322,27640,5
481,True,33,,,1986-05-28,,Mississippi,3,RT,12621,9795,['OL'],Michael,Michael Oher,,#MichaelOher-NFL-FA-73,"6'4""",,,,,,Oher,,73,481,OT,,,6050,5182,michael,michaeloher,oher,9999999,nfl,98a87efc-1bdd-49fd-8dd1-d03d41e6e374,,Inactive,,315,9287,10
556,True,33,,,1986-11-19,,Utah,,,13261,11178,['OL'],Zane,Zane Beadles, 00-0027658,#ZaneBeadles-NFL-FA-69,"6'4""",,,,,,Beadles,1560222947108,69,556,OT,,,6559,5833,zane,zanebeadles,beadles,9999999,nfl,a9217999-fa6d-4474-a176-1cf9013224ea,,Inactive,,305,24020,9
4680,True,,,,,,Colorado St.-Pueblo,,,2581999,19581,['WR'],Larry,Larry Clark,,#LarryClark-NFL-FA-17,"6'3""",,,,,,Clark,,17,4680,WR,,,12253,,larry,larryclark,clark,9999999,nfl,05564bd8-a387-4f43-b60e-b5805e3e1997,609612,Inactive,,182,30835,2
3936,False,24,,,1993-10-02,,Mount Union,,,3084893,18769,['DL'],Tom,Tom Lally,,#TomLally-NFL-FA-78,"6'1""",,,,,,Lally,,78,3936,DE,,,11658,,tom,tomlally,lally,9999999,nfl,,,Inactive,,255,30066,0
1315,False,29,,,1988-01-10,,Arkansas,3,MLB,15194,14809,['LB'],Jerry,Jerry Franklin,,#JerryFranklin-NFL-FA-58,"6'1""",,,,,,Franklin,,58,1315,ILB,,,8426,,jerry,jerryfranklin,franklin,9999999,nfl,0f964a6a-53e1-4c20-8ac3-3c83c2a24b49,,Inactive,,245,25978,4
546,True,32,,,1987-09-25,,Arizona,,,13288,11108,['DL'],Earl,Earl Mitchell,00-0027684,#EarlMitchell-NFL-FA-75,"6'2""",,,,,,Mitchell,1573157128389,75,546,DT,,,6683,5884,earl,earlmitchell,mitchell,1748,nfl,c9fe00a2-7620-49f3-a744-7d04c5b30560,335012,Inactive,,296,24056,9
2433,True,27,,,1992-02-10,,Miami,1,RG,2512577,16889,['OL'],Jon,Jon Feliciano,00-0032151,#JonFeliciano-NFL-BUF-76,"6'4""",,,,,Questionable,Feliciano,1576622123430,76,2433,G,,,10456,,jon,jonfeliciano,feliciano,9999999,nfl,392ccaf6-6d81-453f-85e3-7702ac081db3,,Active,BUF,323,28516,4
165,True,29,,,1989-05-03,,Newberry - SC,,,15688,4276,['TE'],Brandon,Brandon Bostick,,#BrandonBostick-NFL-FA-82,"6'3""",,,,,,Bostick,,82,165,TE,,,9102,,brandon,brandonbostick,bostick,9999999,nfl,e804ffee-597a-434f-8e72-7db5893225d6,512804,Inactive,,250,26538,3
2203,False,27,,,1991-10-13,,McNeese State,,,17181,16576,['TE'],Nic,Nic Jacobs,,#NicJacobs-NFL-FA-0,"6'5""",,,,,,Jacobs,,0,2203,TE,,,9639,,nic,nicjacobs,jacobs,9999999,nfl,451d7189-7d23-4288-adca-eebfa32f053b,540517,Inactive,,269,27927,3
3704,False,25,,,1993-05-31,,Memphis,3,RT,,18510,['OL'],Ryan,Ryan Mack,,#RyanMack-NFL-FA-61,"6'4""",,,,,,Mack,,61,3704,OT,,,11372,,ryan,ryanmack,mack,9999999,nfl,,,Inactive,,308,29895,0
1185,True,30,,,1989-02-01,,Appalachian State,,,15457,14352,['RB'],Travaris,Travaris Cadet,00-0029205,#TravarisCadet-NFL-FA-38,"6'1""",,,,,,Cadet,1571191251347,38,1185,RB,,,8454,7758,travaris,travariscadet,cadet,9999999,nfl,b4ce3e07-7848-4da2-a33e-4f04ce540ba5,400644,Inactive,,210,26024,7
3676,True,25,,,1994-07-13,,Florida Atlantic,3,UT,2982880,18476,['DL'],Trevon,Trevon Coley,00-0032566,#TrevonColey-NFL-IND-91,"6'1""",,,,,,Coley,1569966910477,91,3676,DT,,,11305,,trevon,trevoncoley,coley,1444,nfl,8905d02c-c7f7-4a50-901b-6eee71e39cc6,695081,Active,IND,307,29751,3
956,True,30,,,1989-12-21,,Alabama,1,RB,13981,13337,['RB'],Mark,Mark Ingram,00-0027966,#MarkIngram-NFL-BAL-21,"5'9""",,Calf,"Ingram II left the last game with a calf strain, and he will not play against the Steelers in Week 17.",2019-12-23,Questionable,Ingram,1577130606903,21,956,RB,,,7244,6471,mark,markingram,ingram,38,nfl,f336567d-44a9-4245-8452-1dd485fd70fb,456613,Active,BAL,215,24815,8
2970,False,25,,,1992-12-31,,Texas A&M,2,SS,2578685,17464,['DB'],Floyd,Floyd Raven,,#FloydRaven-NFL-FA-41,"6'0""",,,,,,Raven,,41,2970,SS,,,10778,,floyd,floydraven,raven,9999999,nfl,c0b50f43-d423-4133-950b-aeb6916ea77e,,Inactive,,200,28977,1
171,False,31,,,1985-12-11,,Arizona State,,,10482,4484,['TE'],Zach,Zach Miller,,#ZachMiller-NFL-FA-86,"6'4""",,,,,,Miller,,86,171,TE,,,,,zach,zachmiller,miller,9999999,nfl,09cbfefb-2ef4-4d07-8ac3-fafccc9a2106,,Inactive,,255,,8
1961,True,29,,,1990-06-16,,South Dakota State,2,LG,17377,16215,['OL'],Bryan,Bryan Witzmann,00-0031152,#BryanWitzmann-NFL-FA-76,"6'7""",,,,,,Witzmann,1573597258959,76,1961,G,,,9964,,bryan,bryanwitzmann,witzmann,9999999,nfl,61536454-3173-4ff2-b76f-f0bdf9e59fb8,,Inactive,,311,28205,5
